0,1562500000	17	18	220	
0,1171875000	39	44	397	
0,1562500000	55	60	447	
0,1953125000	251	325	1002	
0,1953125000	783	1299	2012	
0,1953125000	2209	5152	4035	
0,1220703125	9938	45387	13166	
0,1220703125	22275	180905	26327	
0,1000000000	0	0	3	
0,1250000000	0	0	8	
0,1250000000	0	0	20	
0,1875000000	1	1	25	
0,1250000000	1	1	44	
0,1875000000	3	3	54	
0,1250000000	2	2	93	
0,1562500000	6	6	100	
0,1875000000	6	6	112	
0,1093750000	8	8	175	
0,1250000000	8	8	186	
0,1406250000	10	10	199	
0,1562500000	13	13	203	
0,1171875000	25	25	364	
0,1562500000	38	38	415	
0,1953125000	173	173	912	
0,1953125000	523	523	1752	
0,1953125000	1409	1409	3220	
0,1220703125	4296	4296	7502	
0,1220703125	9230	9230	13280	
