0,2000000000	0	0	2	
0,5000000000	0	0	5	
0,5000000000	4	6	18	
0,7500000000	6	8	23	
0,5000000000	11	14	45	
0,7500000000	16	21	55	
0,5000000000	28	36	100	
0,6250000000	29	35	110	
0,7500000000	39	49	120	
0,8750000000	43	59	130	
0,5000000000	62	79	211	
0,5625000000	66	85	221	
0,6250000000	71	92	231	
0,4687500000	120	153	424	
0,6250000000	143	175	474	
0,7812500000	358	480	1061	
0,7812500000	946	1572	2135	
0,7812500000	2473	5706	4286	
0,4882812500	10940	50869	14184	
0,4882812500	24281	204291	28358	
0,2000000000	0	0	2	
0,5000000000	1	1	5	
0,5000000000	4	5	18	
0,7500000000	6	7	23	
0,5000000000	13	17	45	
0,7500000000	17	21	55	
0,5000000000	26	30	100	
0,6250000000	31	39	110	
0,7500000000	37	47	120	
0,8750000000	40	51	130	
0,5000000000	59	74	211	
0,5625000000	65	84	221	
0,6250000000	69	87	231	
0,4687500000	116	147	424	
0,6250000000	143	189	473	
0,7812500000	354	469	1061	
0,7812500000	940	1538	2136	
0,7812500000	2467	5607	4286	
0,4882812500	10935	51211	14184	
0,4882812500	24286	204866	28351	
0,2000000000	0	0	2	
0,5000000000	0	0	5	
0,5000000000	4	5	18	
0,7500000000	7	9	23	
0,5000000000	11	13	45	
0,7500000000	16	19	55	
0,5000000000	26	31	100	
0,6250000000	32	43	110	
0,7500000000	38	48	120	
0,8750000000	42	54	130	
0,5000000000	59	73	211	
0,5625000000	65	81	221	
0,6250000000	68	84	231	
0,4687500000	120	151	424	
0,6250000000	147	188	474	
0,7812500000	361	485	1061	
0,7812500000	939	1534	2135	
0,7812500000	2459	5640	4285	
0,4882812500	10932	51054	14184	
0,4882812500	24287	204737	28354	
0,2000000000	0	0	2	
0,5000000000	1	1	5	
0,5000000000	3	4	18	
0,7500000000	7	9	23	
0,5000000000	10	12	45	
0,7500000000	15	18	55	
0,5000000000	26	32	100	
0,6250000000	31	38	110	
0,7500000000	38	51	120	
0,8750000000	44	61	130	
0,5000000000	59	73	211	
0,5625000000	67	83	221	
0,6250000000	69	86	231	
0,4687500000	125	165	424	
0,6250000000	138	173	474	
0,7812500000	368	502	1061	
0,7812500000	942	1545	2135	
0,7812500000	2462	5620	4286	
0,4882812500	10941	51071	14183	
0,4882812500	24280	204082	28360	
0,2000000000	0	0	2	
0,5000000000	0	0	5	
0,5000000000	4	6	18	
0,7500000000	7	9	23	
0,5000000000	11	13	45	
0,7500000000	16	20	55	
0,5000000000	30	38	100	
0,6250000000	34	44	110	
0,7500000000	36	46	120	
0,8750000000	43	56	130	
0,5000000000	57	69	211	
0,5625000000	64	78	221	
0,6250000000	64	79	231	
0,4687500000	126	161	424	
0,6250000000	141	180	474	
0,7812500000	356	481	1060	
0,7812500000	936	1512	2135	
0,7812500000	2463	5643	4286	
0,4882812500	10942	51043	14185	
0,4882812500	24297	204232	28359	
0,2000000000	0	0	2	
0,5000000000	1	1	5	
0,5000000000	4	5	18	
0,7500000000	6	7	23	
0,5000000000	12	15	45	
0,7500000000	15	19	55	
0,5000000000	28	36	100	
0,6250000000	32	40	110	
0,7500000000	36	46	120	
0,8750000000	40	49	130	
0,5000000000	57	71	211	
0,5625000000	64	81	221	
0,6250000000	71	89	231	
0,4687500000	116	148	424	
0,6250000000	148	193	474	
0,7812500000	357	474	1061	
0,7812500000	934	1542	2135	
0,7812500000	2469	5660	4286	
0,4882812500	10927	50755	14182	
0,4882812500	24290	204056	28361	
0,2000000000	0	0	2	
0,5000000000	0	0	5	
0,5000000000	4	5	18	
0,7500000000	6	7	23	
0,5000000000	11	12	45	
0,7500000000	16	22	55	
0,5000000000	26	32	100	
0,6250000000	31	40	110	
0,7500000000	37	48	120	
0,8750000000	40	50	130	
0,5000000000	60	73	211	
0,5625000000	67	85	221	
0,6250000000	69	87	231	
0,4687500000	124	160	424	
0,6250000000	140	176	474	
0,7812500000	362	479	1061	
0,7812500000	949	1555	2135	
0,7812500000	2481	5723	4285	
0,4882812500	10946	51203	14184	
0,4882812500	24271	203093	28352	
0,2000000000	0	0	2	
0,5000000000	0	1	5	
0,5000000000	4	5	18	
0,7500000000	7	8	23	
0,5000000000	10	12	45	
0,7500000000	16	19	55	
0,5000000000	26	33	100	
0,6250000000	31	39	110	
0,7500000000	38	51	120	
0,8750000000	41	52	130	
0,5000000000	61	77	211	
0,5625000000	64	83	221	
0,6250000000	69	86	231	
0,4687500000	123	156	424	
0,6250000000	138	174	474	
0,7812500000	369	504	1061	
0,7812500000	946	1538	2135	
0,7812500000	2467	5667	4285	
0,4882812500	10935	51088	14182	
0,4882812500	24241	203480	28352	
0,2000000000	0	0	2	
0,5000000000	0	0	5	
0,5000000000	4	6	18	
0,7500000000	6	7	23	
0,5000000000	11	13	45	
0,7500000000	19	25	55	
0,5000000000	28	36	100	
0,6250000000	30	38	110	
0,7500000000	38	49	120	
0,8750000000	42	54	130	
0,5000000000	58	73	211	
0,5625000000	61	76	221	
0,6250000000	69	86	231	
0,4687500000	118	143	424	
0,6250000000	145	183	474	
0,7812500000	364	490	1061	
0,7812500000	948	1571	2135	
0,7812500000	2466	5676	4286	
0,4882812500	10942	51451	14181	
0,4882812500	24270	202335	28350	
0,2000000000	0	0	2	
0,5000000000	1	1	5	
0,5000000000	4	6	18	
0,7500000000	6	7	23	
0,5000000000	13	16	45	
0,7500000000	14	18	55	
0,5000000000	26	33	100	
0,6250000000	31	39	110	
0,7500000000	37	48	120	
0,8750000000	41	52	130	
0,5000000000	58	72	211	
0,5625000000	64	81	221	
0,6250000000	67	83	231	
0,4687500000	120	154	424	
0,6250000000	141	177	474	
0,7812500000	366	504	1061	
0,7812500000	947	1546	2135	
0,7812500000	2468	5701	4285	
0,4882812500	10928	51227	14182	
0,4882812500	24286	203103	28357	
0,2000000000	0	0	2	
0,5000000000	0	0	5	
0,5000000000	2	2	15	
0,7500000000	4	4	20	
0,5000000000	6	6	36	
0,7500000000	10	10	47	
0,5000000000	14	14	79	
0,6250000000	18	18	89	
0,7500000000	23	23	98	
0,8750000000	27	27	107	
0,5000000000	30	30	161	
0,5625000000	33	33	172	
0,6250000000	38	38	179	
0,4687500000	59	59	317	
0,6250000000	77	77	363	
0,7812500000	211	211	834	
0,7812500000	549	549	1658	
0,7812500000	1414	1414	3128	
0,4882812500	4300	4300	7440	
0,4882812500	9233	9233	13212	
